City	City coordinate location	City GeoNames ID	City QID	County	GeoNames ID	County QID
Sonoma	38.288888888889,-122.45888888889	5397095	Q11592	Sonoma County	5397100	Q108067
Sonora	37.984444444444,-120.38166666667	5397165	Q953567	Tuolumne County	5403973	Q156346
South Gate	33.944166666667,-118.195	5397603	Q838772	Los Angeles County	5368381	Q104994
South Lake Tahoe	38.94,-119.97694444444	5397664	Q983602	El Dorado County	5345659	Q108093
South Pasadena	34.113055555556,-118.15583333333	5397717	Q852581	Los Angeles County	5368381	Q104994
South San Francisco	37.656111111111,-122.42555555556	5397765	Q927122	San Mateo County	5392427	Q108101
Stockton	37.975555555556,-121.30083333333	5399020	Q49240	San Joaquin County	5392126	Q108499
Suisun City	38.245,-122.01694444444	5340970	Q204087	Solano County	5396987	Q108083
Sunnyvale	37.368888888889,-122.03694444444	5400075	Q208459	Santa Clara County	5393021	Q110739
Susanville	40.417222222222,-120.64611111111	5572400	Q629584	Lassen County	5566544	Q156340
Taft	35.1425,-119.45638888889	5400877	Q983611	Kern County	5362932	Q108047
Tehachapi	35.132222222222,-118.44888888889	5401297	Q985253	Kern County	5362932	Q108047
Tiburon	37.873611111111,-122.45666666667	5402535	Q984603	Marin County	5370468	Q108117
Torrance	33.8358492,-118.3406288	5403022	Q489197	Los Angeles County	5368381	Q104994
Tracy	37.738055555556,-121.43388888889	5403191	Q953409	San Joaquin County	5392126	Q108499
Truckee	39.342222222222,-120.20361111111	5403676	Q506402	Nevada County	5376509	Q109681
Tulare	36.206666666667,-119.3425	5403783	Q616562	Tulare County	5403789	Q109686
Turlock	37.505833333333,-120.84888888889	5404024	Q1011205	Stanislaus County	5398597	Q108503
Tustin	33.739722222222,-117.81361111111	5404119	Q917513	Orange County	5379524	Q5925
Ukiah	39.148888888889,-123.20861111111	5404476	Q837105	Mendocino County	5372163	Q108087
Union City	37.596388888889,-122.04833333333	5404555	Q846402	Alameda County	5322745	Q107146
Upland	34.0999,-117.647	5404915	Q747466	San Bernardino County	5391726	Q108053
Vacaville	38.353888888889,-121.97277777778	5405228	Q850823	Solano County	5396987	Q108083
Vallejo	38.104088,-122.256638	5405380	Q208445	Solano County	5396987	Q108083
Ventura	34.26778,-119.254206	5405878	Q490434	Ventura County	5405889	Q108127
Vernon	34.001111111111,-118.21111111111	5406001	Q934111	Los Angeles County	5368381	Q104994
Victorville	34.536111111111,-117.28833333333	5406222	Q495353	San Bernardino County	5391726	Q108053
Visalia	36.33027777777778,-119.2925	5406567	Q495373	Tulare County	5403789	Q109686
Walnut Creek	37.9063131,-122.064963	5406990	Q493261	Contra Costa County	5339268	Q108058
Watsonville	36.92,-121.76361111111	5407529	Q913543	Santa Cruz County	5393068	Q108122
Weaverville	40.7367,-122.936	5573443	Q3027750	Trinity County	5553701	Q156188
Weed	41.424166666667,-122.38444444444	5573449	Q985254	Siskiyou County	5571369	Q156374
West Covina	34.056666666667,-117.91861111111	5407933	Q494728	Los Angeles County	5368381	Q104994
Westminster	33.751388888889,-117.99388888889	5408406	Q838759	Orange County	5379524	Q5925
West Sacramento	38.571111111111,-121.53916666667	5408211	Q983600	Yolo County	5410882	Q109709
Wheatland	39.01,-121.42305555556	5408617	Q2370501	Yuba County	5411026	Q196014
Whittier	33.965555555556,-118.02444444444	5409059	Q838791	Los Angeles County	5368381	Q104994
Williams	39.154722222222,-122.14944444444	5409417	Q2685585	Colusa County	5338872	Q271609
Willits	39.409722222222,-123.35555555556	5409500	Q2334435	Mendocino County	5372163	Q108087
Windsor	38.546111111111,-122.80527777778	5410004	Q986852	Sonoma County	5397100	Q108067
Winters	38.525,-121.97083333333	5410125	Q986857	Yolo County	5410882	Q109709
Woodland	38.678611111111,-121.77333333333	5410430	Q837129	Yolo County	5410882	Q109709
Yreka	41.726666666667,-122.6375	5574093	Q2565455	Siskiyou County	5571369	Q156374
Yuba City	39.134722222222,-121.62611111111	5411015	Q169948	Sutter County	5400390	Q156377
